,ID,birth_year,education,marital_status,income,number_of_children,days_since_last_purchase,customer_enrollment_date,customer_complaint_status,discounted_purchases,website_purchases,catalogue_purchases,store_purchases,web_visits_month,campaign1_accepted,campaign2_accepted,campaign3_accepted,campaign4_accepted,campaign5_accepted,total_purchases,total_campaigns_acc
0,4220,1970.0,PhD,Married,59892,1,26,2013-02-11,False,1,2,1,3,3,0,0,0,0,0,14,0
1,3523,1970.0,Graduation,Together,75072,1,83,2013-01-23,False,2,5,4,8,3,0,0,0,0,0,38,0
2,5263,1970.0,Master,Married,31056,1,99,2013-01-22,False,1,1,0,3,8,0,0,0,0,0,10,0
3,9596,1970.0,PhD,Single,65295,0,19,2013-12-23,False,1,3,3,13,2,0,0,0,0,0,40,0
4,531,1970.0,PhD,Divorced,57333,1,55,2012-09-22,False,11,8,5,9,6,0,0,0,0,0,66,0
5,6710,1970.0,Master,Single,58217,3,84,2013-07-12,False,1,2,0,4,6,0,0,0,0,0,14,0
6,1160,1970.0,Graduation,Married,13260,2,48,2013-08-23,False,4,3,0,3,8,0,0,0,0,0,20,0
7,9972,1970.0,PhD,Together,46015,2,25,2014-04-13,False,1,1,0,3,7,0,1,1,0,0,10,4
8,10146,1970.0,PhD,Together,38887,1,17,2014-02-03,False,1,1,0,3,7,0,0,0,0,0,10,0
9,3783,1970.0,PhD,Married,52854,2,43,2014-03-24,False,2,2,1,4,5,0,0,0,0,0,18,0
10,5939,1970.0,Graduation,Together,38232,2,84,2014-01-17,False,4,3,1,3,5,0,0,0,0,0,22,0
11,1968,1970.0,Graduation,Widow,45684,1,37,2013-02-12,False,1,1,0,2,7,0,0,0,0,0,8,0
12,10779,1970.0,Graduation,Single,22148,0,16,2014-04-13,False,1,1,0,3,7,0,0,0,0,0,10,0
13,3439,1970.0,Graduation,Married,56721,2,64,2012-10-31,False,5,4,1,5,6,0,0,0,0,0,30,0
14,5423,1970.0,Graduation,Together,28359,1,35,2013-10-27,False,1,1,0,2,7,0,0,0,0,0,8,0
15,2829,1970.0,Graduation,Married,65210,1,25,2014-10-03,False,2,9,3,8,6,1,0,0,1,0,44,4
16,7574,1970.0,PhD,Together,27922,1,80,2014-10-05,False,1,2,0,3,4,0,0,0,0,0,12,0
17,6097,1970.0,Graduation,Single,50664,2,64,2013-01-16,False,9,8,1,6,9,0,0,0,0,0,48,0
18,7129,1970.0,PhD,Married,54693,1,72,2013-02-17,False,8,6,4,13,6,0,0,0,0,0,62,0
19,10766,1970.0,PhD,Married,65526,1,22,2014-11-04,False,1,4,4,8,2,0,0,0,0,0,34,0
20,1987,1970.0,Basic,Single,21063,1,34,2013-09-25,False,2,2,0,3,6,0,0,0,0,0,14,0
21,3107,1970.0,Graduation,Together,71322,1,31,2014-02-05,False,1,4,1,7,2,0,0,0,0,0,26,0
22,606,1970.0,Graduation,Single,25930,2,87,2013-10-10,False,1,1,0,2,7,0,0,0,0,0,8,0
23,11056,1970.0,Graduation,Married,72099,0,18,2012-10-27,False,1,3,4,10,1,0,0,0,0,0,36,0
24,10711,1970.0,Graduation,Married,69755,0,23,2013-02-10,False,1,3,6,12,1,0,0,0,0,0,44,0
25,4442,1970.0,Graduation,Single,46524,1,70,2013-05-04,False,2,1,1,5,3,0,0,0,0,0,18,0
26,4877,1970.0,Master,Married,38576,1,2,2014-04-03,False,1,1,0,3,7,0,0,0,0,0,10,0
27,1584,1970.0,Graduation,Married,41443,1,79,2014-01-04,False,6,8,1,5,8,0,0,0,0,0,40,0
28,5304,1970.0,PhD,Single,30899,1,35,2012-10-13,False,2,1,0,3,6,0,0,0,0,0,12,0
29,1992,1970.0,Graduation,Married,60597,1,2,2014-01-01,False,4,2,2,8,7,1,0,0,0,0,32,2
30,6262,1970.0,Master,Single,72217,0,93,2013-10-04,False,1,3,10,8,2,0,0,0,0,0,44,0
31,7059,1970.0,Graduation,Married,80124,0,47,2014-06-26,False,1,3,7,8,1,0,0,1,0,0,38,2
32,8299,1970.0,PhD,Single,33996,0,46,2013-11-09,False,1,1,1,3,4,0,0,0,0,0,12,0
33,9923,1970.0,Master,Single,46423,2,6,2013-09-18,False,10,2,0,4,7,0,0,0,0,0,32,0
34,8720,1978.0,Master,Together,52192,0,53,2012-12-08,False,0,0,0,1,0,0,0,0,1,0,2,2
35,7187,1969.0,Master,Together,52192,2,52,2013-05-18,False,7,4,10,4,3,0,0,0,0,0,50,0
36,8557,1982.0,Graduation,Single,52192,1,57,2013-06-17,False,2,2,0,3,6,0,0,0,0,0,14,0
37,3117,1955.0,Graduation,Single,52192,1,95,2013-10-18,False,3,6,1,5,7,0,0,0,0,0,30,0
38,1994,1983.0,Graduation,Married,52192,1,11,2013-11-15,False,1,1,0,2,7,0,0,0,0,0,8,0
39,8268,1961.0,PhD,Married,52192,1,23,2013-11-07,False,3,6,1,7,6,0,0,0,0,0,34,0
40,5079,1971.0,Graduation,Married,52192,2,82,2013-03-03,False,4,2,1,3,8,0,0,0,0,0,20,0
